profile,true_label,predicted_label,event_probability,acuity_distribution,device_domain_distribution,sensor_quality_distribution,base_hr_bpm,hr_variability,motion_level,contact_quality,ambient_light,snr_db,duration_s,n_samples,fs,actual_hrv_sdnn,actual_hrv_rmssd,actual_pulse_rate,reduced_hrv,elevated_hr
healthy,0,1,0.7215157747268677,"[1.6625042462692363e-06, 9.325358405476436e-07, 0.9999939203262329, 3.459847686126949e-10, 8.241043474299659e-07, 2.5792501219257247e-06]","[0.010509803891181946, 0.9894902110099792]","[0.6730477213859558, 0.31844213604927063, 0.00851009227335453]",73.47912097111927,0.1770541971677668,0.3575793759734148,0.9546052043589046,0.02565064087325897,24.82935646145729,120.0,3000,25,166.6003559043639,191.9611412619784,82.5,,
healthy,0,1,0.9926353096961975,"[0.0, 0.0, 1.0, 0.0, 1.301712216028271e-28, 0.0]","[0.0, 1.0]","[1.0, 0.0, 0.0]",59.683570849609794,0.2106349042786334,0.3906034603349383,0.9360475974811807,0.033038978719063555,24.991276640419493,120.0,3000,25,251.9329125522585,325.6347475728222,90.5,,
healthy,0,1,0.8478224277496338,"[1.6394436670452706e-06, 9.399258971143354e-08, 0.9999980926513672, 6.554880878535674e-13, 1.265412885587125e-09, 1.6136068836658524e-07]","[4.0890754462452605e-05, 0.9999591112136841]","[0.8945730328559875, 0.10534759610891342, 7.9391997132916e-05]",60.07490439284151,0.17574294994743847,0.2640147996453019,0.8842005406058835,0.07342974643788512,23.5919291111569,120.0,3000,25,201.92312116224676,287.39202277948067,104.0,,
healthy,0,1,0.678340494632721,"[5.050983986620849e-07, 4.2158902147093613e-07, 0.9999939203262329, 4.1912015524836477e-10, 4.036352038383484e-06, 1.0771485676741577e-06]","[0.00656228419393301, 0.9934377074241638]","[0.7598056197166443, 0.23218363523483276, 0.00801073294132948]",76.58615634680339,0.23105374297703873,0.2748557627131031,0.8590353640989219,0.02103295023945541,22.479203976303992,120.0,3000,25,147.81257682563745,159.90906506796009,83.5,,
healthy,0,1,0.9805715084075928,"[5.741355741523124e-13, 3.1807640945461597e-16, 0.9999984502792358, 3.593266294357697e-17, 1.553134893583774e-06, 4.157362822054811e-12]","[5.901672379959866e-12, 1.0]","[0.9998855590820312, 0.00011445009295130149, 1.2145681127506691e-09]",59.95333125907835,0.12351160458764214,0.32834032106959454,0.8984319723763998,0.03942952871537182,21.95317671761276,120.0,3000,25,194.61011010785714,266.2256515833431,103.5,,
healthy,0,1,0.9825570583343506,"[4.997021744415804e-15, 1.3238338110027023e-19, 0.9999973773956299, 7.332914771251963e-20, 2.5709657620609505e-06, 2.5865954885774534e-13]","[3.355082596294412e-14, 1.0]","[0.9999916553497314, 8.380934559681918e-06, 9.414435203636273e-11]",60.76840964888346,0.1406378619202313,0.30962470206914205,0.8748563046081844,0.021001220383882954,19.295702153194792,120.0,3000,25,183.9679605972621,266.0790974962181,105.5,,
healthy,0,1,0.6519883275032043,"[1.6299578646794544e-06, 1.054183940141229e-06, 0.9999936819076538, 4.713012757839863e-10, 1.1170137668159441e-06, 2.443855237288517e-06]","[0.017032386735081673, 0.9829675555229187]","[0.6751397252082825, 0.3156517744064331, 0.009208421222865582]",58.19963808841762,0.1712038696158894,0.11620064757606406,0.918831354002444,0.046980858856216376,23.920241727596515,120.0,3000,25,189.09935375087977,294.0570781623719,104.5,,
healthy,0,1,0.8252589106559753,"[1.7926356576936087e-06, 2.3069220844718075e-07, 0.9999974966049194, 9.493194425003182e-12, 1.2468617249794534e-08, 4.0898251540966157e-07]","[0.00027617899468168616, 0.9997238516807556]","[0.8298073410987854, 0.1697482466697693, 0.00044442887883633375]",62.85053990098919,0.19262661651507895,0.2151750999046772,0.9429912930842511,0.05977329815941826,20.887016069595184,120.0,3000,25,210.73677469047144,258.5237276663352,99.5,,
healthy,0,1,0.9882962703704834,"[4.012542619692186e-34, 0.0, 1.0, 0.0, 1.0207464214151418e-12, 1.2790292601353687e-30]","[0.0, 1.0]","[1.0, 6.035020000090428e-18, 1.3974225685061206e-29]",62.11303787274543,0.1233768443008712,0.11051632201757512,0.936101625219039,0.07940496559897645,20.308898048348293,120.0,3000,25,192.74884346027747,262.18076966257695,105.5,,
healthy,0,1,0.7719587683677673,"[1.1068602816521889e-06, 8.440036367574066e-07, 0.9999946355819702, 2.3908153234941665e-10, 8.679928100718826e-07, 2.547317080825451e-06]","[0.008263055235147476, 0.9917369484901428]","[0.6356582045555115, 0.3517999053001404, 0.012541807256639004]",76.12619552034815,0.22960150920200842,0.1376893850639435,0.9774308600122588,0.07486920283474673,19.711511075253096,120.0,3000,25,166.32607579605897,174.48928800332408,87.0,,
healthy,0,1,0.8380040526390076,"[1.515766030024679e-06, 2.1069416789032402e-07, 0.9999979734420776, 5.924792774447685e-12, 9.2730196854518e-09, 3.87641961197005e-07]","[0.00025165852275677025, 0.9997482895851135]","[0.8311152458190918, 0.16843430697917938, 0.00045049001346342266]",68.95770408139073,0.18168891971580553,0.3133199092444964,0.9210161320899499,0.05849868543686572,21.972923428541453,120.0,3000,25,224.17023791418532,244.27231836055714,88.0,,
healthy,0,1,0.8684961199760437,"[1.350196725979913e-06, 5.0989864774919624e-08, 0.9999984502792358, 9.556158625913594e-14, 2.5389107483064777e-10, 8.31316100402546e-08]","[1.3221298104326706e-05, 0.9999867677688599]","[0.9224700927734375, 0.07750286161899567, 2.705730003071949e-05]",62.04633085992847,0.24682073808686233,0.2489110191993806,0.9637959313941468,0.07503566028159425,19.752255361387352,120.0,3000,25,221.4582075655019,301.73647104581784,99.0,,
healthy,0,1,0.9245821237564087,"[1.3760735947949218e-20, 1.2509988544275816e-29, 1.0, 1.2701757752273483e-29, 4.240603956873201e-08, 4.912317119583949e-18]","[5.907270030599747e-23, 1.0]","[1.0, 6.838470900660809e-10, 9.21749405894247e-16]",75.85937685596613,0.19800113513874582,0.38190672758540656,0.8658130113577657,0.04303252109222763,18.60933272809292,120.0,3000,25,167.9724279825551,163.09152010645997,87.5,,
